Date,Account Balance,Backtest ID,Risk
2024-11-08,10053.28,Test 22,"TP: 0.00, SL: 0.00"
2024-09-24,10007.77,Test 22,"TP: 0.00, SL: 0.00"
2024-10-21,10050.49,Test 22,"TP: 0.00, SL: 0.00"
2024-10-17,10047.10,Test 22,"TP: 0.00, SL: 0.00"
2024-11-06,10053.28,Test 22,"TP: 0.00, SL: 0.00"
2024-09-23,10003.03,Test 22,"TP: 0.00, SL: 0.00"
2024-10-24,10034.89,Test 22,"TP: 0.00, SL: 0.00"
2024-10-23,10037.32,Test 22,"TP: 0.00, SL: 0.00"
2024-11-01,10011.01,Test 22,"TP: 0.00, SL: 0.00"
2024-10-03,10001.47,Test 22,"TP: 0.00, SL: 0.00"
2024-10-15,10034.65,Test 22,"TP: 0.00, SL: 0.00"
2024-10-09,10022.30,Test 22,"TP: 0.00, SL: 0.00"
2024-10-10,10022.09,Test 22,"TP: 0.00, SL: 0.00"
2024-10-22,10047.16,Test 22,"TP: 0.00, SL: 0.00"
2024-09-27,10003.03,Test 22,"TP: 0.00, SL: 0.00"
2024-10-01,9997.36,Test 22,"TP: 0.00, SL: 0.00"
2024-10-04,10001.47,Test 22,"TP: 0.00, SL: 0.00"
2024-10-08,10022.30,Test 22,"TP: 0.00, SL: 0.00"
2024-10-14,10043.47,Test 22,"TP: 0.00, SL: 0.00"
2024-10-16,10034.65,Test 22,"TP: 0.00, SL: 0.00"
2024-10-18,10047.10,Test 22,"TP: 0.00, SL: 0.00"
2024-10-29,10024.24,Test 22,"TP: 0.00, SL: 0.00"
2024-09-25,10007.05,Test 22,"TP: 0.00, SL: 0.00"
2024-09-30,9994.42,Test 22,"TP: 0.00, SL: 0.00"
2024-11-04,10003.75,Test 22,"TP: 0.00, SL: 0.00"
2024-10-28,10024.24,Test 22,"TP: 0.00, SL: 0.00"
2024-11-05,10003.75,Test 22,"TP: 0.00, SL: 0.00"
2024-10-02,10000.42,Test 22,"TP: 0.00, SL: 0.00"
2024-10-25,10024.81,Test 22,"TP: 0.00, SL: 0.00"
2024-10-02,9997.78,Test 31,"TP: 0.00, SL: 0.00"
2024-10-23,10011.06,Test 31,"TP: 0.00, SL: 0.00"
2024-10-25,10009.02,Test 31,"TP: 0.00, SL: 0.00"
2024-09-25,10004.53,Test 31,"TP: 0.00, SL: 0.00"
2024-10-17,10021.20,Test 31,"TP: 0.00, SL: 0.00"
2024-10-28,10019.10,Test 31,"TP: 0.00, SL: 0.00"
2024-10-30,10002.40,Test 31,"TP: 0.00, SL: 0.00"
2024-10-08,9997.32,Test 31,"TP: 0.00, SL: 0.00"
2024-10-16,10013.07,Test 31,"TP: 0.00, SL: 0.00"
2024-10-21,10025.82,Test 31,"TP: 0.00, SL: 0.00"
2024-10-24,10009.02,Test 31,"TP: 0.00, SL: 0.00"
2024-11-05,9998.02,Test 31,"TP: 0.00, SL: 0.00"
2024-10-01,9997.78,Test 31,"TP: 0.00, SL: 0.00"
2024-11-04,9998.02,Test 31,"TP: 0.00, SL: 0.00"
2024-10-15,10013.07,Test 31,"TP: 0.00, SL: 0.00"
2024-09-23,10004.47,Test 31,"TP: 0.00, SL: 0.00"
2024-09-24,10002.76,Test 31,"TP: 0.00, SL: 0.00"
2024-09-30,10007.66,Test 31,"TP: 0.00, SL: 0.00"
2024-10-03,9998.83,Test 31,"TP: 0.00, SL: 0.00"
